common_name,comment_percent,exclamation_percent,count,url
Eastern Bluebird,6.970476540487591,3.866432337434098,8163,https://www.allaboutbirds.org/guide/assets/og/627018796-1200px.jpg
Blackburnian Warbler,5.523710265763435,2.830188679245287,7676,https://www.allaboutbirds.org/guide/assets/og/75263451-1200px.jpg
Pied-billed Grebe,5.869993434011785,3.1319910514541363,7615,https://www.allaboutbirds.org/guide/assets/og/75712941-1200px.jpg
Cape May Warbler,6.827745350889127,4.7713717693837,7367,https://www.allaboutbirds.org/guide/assets/og/75298321-1200px.jpg
Peregrine Falcon,20.479452054794557,2.0735785953177226,7300,https://www.allaboutbirds.org/guide/assets/og/630326614-1200px.jpg
Greater Scaup,11.74289245982691,0.11695906432748605,7281,https://www.allaboutbirds.org/guide/assets/og/75362491-1200px.jpg
Veery,5.042594119263596,1.6348773841961834,7278,https://www.allaboutbirds.org/guide/assets/og/75225521-1200px.jpg
Piping Plover,23.379174852652188,8.583433373349338,7126,https://www.allaboutbirds.org/guide/assets/og/75714431-1200px.jpg
Sandhill Crane,34.45003594536291,2.337228714524215,6955,https://www.allaboutbirds.org/guide/assets/og/75366251-1200px.jpg
Horned Grebe,8.32596522251693,1.061946902654869,6786,https://www.allaboutbirds.org/guide/assets/og/75704341-1200px.jpg
Eastern Meadowlark,6.185882713213937,2.970297029702968,6531,https://www.allaboutbirds.org/guide/assets/og/75342091-1200px.jpg
Scarlet Tanager,9.048361934477384,2.931034482758626,6410,https://www.allaboutbirds.org/guide/assets/og/75365641-1200px.jpg
Northern Parula,10.103060587133092,2.318392581143742,6404,https://www.allaboutbirds.org/guide/assets/og/75222961-1200px.jpg
Orchard Oriole,11.338905535404395,0.6954102920723251,6341,https://www.allaboutbirds.org/guide/assets/og/75712391-1200px.jpg
Winter Wren,7.976622966356027,6.534653465346531,6331,https://www.allaboutbirds.org/guide/assets/og/75221121-1200px.jpg
Solitary Sandpiper,5.917445985166051,2.452316076294276,6202,https://www.allaboutbirds.org/guide/assets/og/75363951-1200px.jpg
Northern Shoveler,11.530944625407136,1.2711864406779616,6140,https://www.allaboutbirds.org/guide/assets/og/75712231-1200px.jpg
Redhead,13.703017023428277,0.12300123001230107,5933,https://www.allaboutbirds.org/guide/assets/og/75714891-1200px.jpg
Canada Warbler,5.485946495089714,2.777777777777781,5906,https://www.allaboutbirds.org/guide/assets/og/75300441-1200px.jpg
Orange-crowned Warbler,5.971418849948883,2.8490028490028503,5878,https://www.allaboutbirds.org/guide/assets/og/75712411-1200px.jpg
Lesser Scaup,11.228009658502932,0.4608294930875584,5798,https://www.allaboutbirds.org/guide/assets/og/75215301-1200px.jpg
Wood Thrush,7.408714058916943,3.3333333333333326,5669,https://www.allaboutbirds.org/guide/assets/og/75220381-1200px.jpg
Black-throated Blue Warbler,17.289377289377335,2.5423728813559263,5460,https://www.allaboutbirds.org/guide/assets/og/75295721-1200px.jpg
Cliff Swallow,7.6723016905072035,1.9370460048426141,5383,https://www.allaboutbirds.org/guide/assets/og/75334851-1200px.jpg
Gray-cheeked Thrush,5.56079170593787,2.71186440677966,5305,https://www.allaboutbirds.org/guide/assets/og/75237591-1200px.jpg
Least Sandpiper,6.027293404094035,0.9433962264150931,5276,https://www.allaboutbirds.org/guide/assets/og/75707821-1200px.jpg
Tufted Titmouse,5.434782608695624,2.105263157894736,5244,https://www.allaboutbirds.org/guide/assets/og/75226111-1200px.jpg
Common Nighthawk,20.6017631276351,3.9999999999999964,5218,https://www.allaboutbirds.org/guide/assets/og/75335401-1200px.jpg
Willow Flycatcher,8.680626143525211,2.341920374707258,4919,https://www.allaboutbirds.org/guide/assets/og/75222251-1200px.jpg
Mute Swan,11.582852431986831,1.60142348754449,4852,https://www.allaboutbirds.org/guide/assets/og/75711651-1200px.jpg
Green-winged Teal,12.131895479054332,1.0256410256410287,4822,https://www.allaboutbirds.org/guide/assets/og/75361401-1200px.jpg
Lesser Yellowlegs,6.727037516170811,1.2820512820512848,4638,https://www.allaboutbirds.org/guide/assets/og/75707941-1200px.jpg
Gadwall,7.269155206286839,1.2012012012012039,4581,https://www.allaboutbirds.org/guide/assets/og/75360821-1200px.jpg
Semipalmated Plover,12.60990282276735,0.7339449541284404,4322,https://www.allaboutbirds.org/guide/assets/og/75239641-1200px.jpg
Sanderling,5.887828717710015,0.3952569169960488,4297,https://www.allaboutbirds.org/guide/assets/og/75366681-1200px.jpg
